content,score
Cukup memuaskan,5
saya tidak dapat menginstal apk Shopee,1
joooossss,5
pengiriman sangat cepat kalau tidak di ulur² wktu oleh kurirNy mhh..,4
sangat membantu apalagi ada COD,5
jelek pengiriman Nya masa estimasi mulur terus kaya karet,1
"Paket gw ilang mulu. Heran dah. Pasti nyangkut di DC. edit: disaranin untuk nunggu sesuai estimasi. blok, estimasi berubah mulu sesuai keinginan. diundur mulu. mikir blok. servis tuh dibenirin. gk logistik, gk cs, sama2 gk bener. ui juga acak2an gak jelas. sekelas hp flag ship aja bisa lemot.",1
sangat puasss,5
gos olshop,5
sangat berguna,5
belanja dengan mudah,5
banyakin diskon lagi,5
sangat membantu sekali buat blnja online,5
sangat membantu terimakasih shopee,5
"semuanya sangat mudah, tinggal klik sampai rumah. minusnya jadi sering ngutang. 🤣🤣🤣🤣",5
pengiriman cepat,5
"Ekspedisi SPX lelet jelek banget, maksa buat ekspedisi sendiri malah makin jelek, udah gitu lelet banget, kurirnya pun ngga ramah semena semena, estimasinya lama banget.",1
bagus,5
belanjaa apapun ngga usah ribett cukupp shopee ...amanahh,5
bunga nya besar,3
"pesan paket dari jakarta, paket udah seminggu masih di jakarta gak bergerak. ditanya dan dikomplain jawabannya tidak memuaskan",1
sangat bagus,5
Pencairan dana untuk seller sangat lama.. Bisa sampai 14 hari setelah paket diterima oleh pembeli. Sangat buruk,1
mudah dalam p embelanjaan,5
aplikasi shopee mantap selalu sesuai setiap pesan GK pernah gaggal👍👍,5
sangat hebat,5
layanan nya bagus,5
Alhamdulillah Manfaat bisa membantu terimakasih Shopee,5
mantap,4
the best bangett ni aplikasi,5
terbaik,5
"foto ulasan pembeli sangat lemot di lihat .. kebanyakan loadingnya .. kesel ,jadi harus nunggu dulu loading selesai baru bisa di geser . bagus versi lama ,versi baru foto otomatis lompat ke slide berikutnya bikin risih",1
inii baguss banget selama aku beli di shopee ga pernah kecewa datang tepat waktu hihihi cocok untuk ciwi' yg suka mager keluar wkwk,5
pengiriman cepat dan barangnya sesuai kualitas...,5
Sangat puas dengan shopee pokok ee,5
"seandainya voucher garansi keterlambatan dalam bentuk koin shopee,itu pasti akan lebih menyenangkan untuk pembeli seperti saya🤭🥰",4
"lelet,kaya siput, pengiriman lambat",1
selalu puas belanja di shoope...,5
"sdh tidak di ragukan buat shopee,belanja selalu di shopee,barang besar mau pun kecil 2x selalu blanja di shopee.pokok nya ok 👍 banget .terus berlangganan selalu di shopee.pertahan kan yg terbaik 🙏",5
Alhamdulillah... bagus,5
sejauh ini sesuai pesannan,5
Mantap,5
aplikasinya bagus🤩🤩🤩🤩🤩,5
"Shopee kami sangat mengharap Pelayanannya, orderannya sampai reseller, toko dan kurirx mantap sekali, pertahankan. jaya dan sukses slalu. .👍👍🙏👏🏻👏🏻❤️",5
bagus semua barang yang ada di Shopee,5
semua oke,5
tingkatkan trus kwalitasnya,4
sangat puas dengan shoppe karena setiap.orderan itu sesuai denga pesanan dan kurirnya pun ramah ramah,5
pengiriman selalu cepat dan aman itu yg terpenting,5
baguss poll,5
shopee top banget dah,5
the best👍,5
"puas bnget blnja d shopee.pngirimannya cpet GK repot kmna mana,.sangat membantu bnget bagi kaum ibu2 kyak q,.males untuk kluar rumah",5
Terimakasih atas produk yang berkualitas dan fasilitas yang diberikan oleh shopee selama ini. Semoga semakin maju dan berkembang pesat ya.. love u shopee,5
bagus,5
"saya sangat puas dengan ada nya shopee,belanja jadi lebih mudah dan praktis",5
mantap,5
trimakasih shopee sudah memberikan pelayanan yang baik untuk pelanggan yang sudah setia belanja di shopee 🥰😍👍trims,5
sangat membantu,5
good job,5
ok,5
sangat berguna walau sering tertipu,5
belanja lebih mudah dan terpercaya,5
Iklannya ngeselin banget!!!!!!,1
rekomendasi banget download aplikasi ini gratis ongkir harganya terjangkau,5
mantap,5
aplikasi ini mudah dan ngk ribet prabayar ngk repot LG sekarang sopee mkin canggih,5
tidak mengecewakan barang yang datang,5
Mksih shopee,5
Sangat baikk,5
mantap,5
aplikasi paling ngeleg,3
Ada beberapa barang yang saya cari tapi gk ada tapi bagus kok ouh iya min coin saya udah capek² dikumpulin mau 2.000 malah jadi 515 padahal belum tanggak kadaluwarsa kok gitu ya min? jujur sskit hati bgt.,3
tolong ganti dnk buat pengirimannya jgn pake SPX lemot cara kerja nya pengiriman bnyk yg pending mending belanja d toko sbelah lah klo msh lemot pengirimannya,1
bagus... no ribet...,5
"Penjual luar kota Memuaskan, sesuai dg prodak yg di pesan",5
"maaf saya unistall shopee , saya sdh blanja berkali2 dg byr cash , tp Spaylater saya msh jg blm diaktifkan .",1
Good job,5
"selalu sama yang di gambar kurirnya ramah ramah penjualnya juga cepet bales,dan aku suka bgtt gratis ongkirr setiap harii",5
ok,1
bagus,5
"bnyak promo dan gratis ongkir,semoga sukses terus shopee",5
keren dah barang aman,5
bagus pokoknya,5
online shop terbaii,5
Gk tepat waktu pengiriman paketnya tolong dipercepat kan antar paket,4
bagus banget,5
"usaha jadi lancar.. belanja jadi lebih mudah dan cepat,",5
"barang bagus, harga sesuai kualitas. seller amanah. barang datang sesuai estimasi.",5
belanja di shopee itu murah cepat tapi kadang ada juga toko yang tidak amanah.kalau pengiriman memang tepat waktu .,5
bagussssss,5
Nice!!,5
dari smua aplikasi penjualan sejauh in shopee yg bagus krn ongkos krmx murah kadang gratis cma pengirimanx lama,5
oke,5
akun shopee aku tb' kehapus dan harus buat acc baru pdhl gue lg pesen paket dan jadi gabisa mantau. sinyal juga bagus tp load terus hha,2
"bintang 5 layak buat shopee,recomdasi buat semua",5
"Makin Kesini makin lemot, Aelah Download fitur aja setengah Jam..",3
shopee apliksh berbelanja 👍👍👍👍👍,5
sangat terbantu sekali dgn adanya kantor shopee dikota ku,5
mantap,5
tadi nya. aku donglod 88.mb setelah Ter download jadi155.mb,1
bagus banget barang nya👍🏻,5
oky,5
lemottt bangettt,3
sangat bagus,5
okok,5
banyakin promonya,5
shopy sangat baik barang nya bgus2 real brangnya asli semua sesuai gmbar,5
sangat membantu,5
terbaik,5
bagus dan nyaman,5
mantap,5
nice babalanja di shopee,5
"shopee keren,.. semoga kedepannya lebih baik lagi",5
sy sangat menyukai aplikasi ini,5
selalu puas belanja d shopee,5
Shopee yg terbaik 👍👍👍👍👍,5
banyak kemudahan dlm berbelanja. serta kemudahan kemudahan yg lain banyak sekali terdapat di aplikasi ini.,5
ok,5
🔥🔥,5
membantu dalam hal apapun,5
cepat dan amanah,5
terima kasih shopee. udah memberi layanan beli barang dan kebutuhan lain tanpa ribet,5
tingkat kan terus pelayanan nya jangan mau kalah dengan kompetitor lain,5
shoppe trmksh y produk klian realpik ok punya dach ap lg klo lg diskon bersyukur bgt brg ok harga murmer,5
sangat baik,5
Shofi aplikasi yang sangat membantu dalam kebutuhan sehari-hari semoga kedepannya lebih baik dan sukses selalu,5
Iklan paling mengganggu. tapi banyak promo😋,4
penjual sulit mendapatkan driver sampai kiriman pembelian saya lama dikirim padahal sudah pilih yg instan,1
baik,5
"aplikasi yang bagus untuk membeli segala barang, fitur"" juga menarik dan mudah dimengerti, mantap deh pokoknya, semoga konsisten seperti ini seterusnya",5
okey,5
the best shopee,5
bagusss 👍👍👍,5
"Aplikasi yang sngat bagus,cocok untuk orang yang suka belanja online, murah dan amanah",5
ok,5
Gratis ongkir nya banyakin min 😁😁,5
pegiriman cepat dn dn amanah sesuai keinginan dn harga sedikit lebih terjangkau..,5
agak di percepat aja expedisi shope nya,5
"semoga selalu amanah,dan barang sesuai harapan",5
saya suka blanja di shopee sesuai harapn,5
sangat baik dan membantu,5
simple dan mudah . dowload skrg,5
"nyaman belanja di sini, kurirnya juga ramah. sukses terus shopee",5
payah ktnya gratisan ongkir tp tercantum byr ongkir ....g sesuai harga.,2
"Min tolong ini kenapa ya saya gabisa login ke akun saya, tulisannya ""tidak ada internet"" sedangkan saya menggunakan wifi. Tolong jalan keluarnya..",2
shope is the best,5
semoga bisa lebih teliti lagi supaya ga ada akun akun penipuan dalam penjualan nya,5
mantap,5
"4 dlu smentara, soalnya saya ngajuin payleter ndk kluar² limitnya, padhl sya klo transaksi baik dn selalu tepat, bsok klo sya udh di kasi limit sya ksi 5 bntg",4
"All Alhamdulillah is Great... so, Pertahankan Shoopee,,Good job🤗👍🏿🥰😍😘😘😘😘",5
Belanja di Shopee sangat nyaman pokoknya.,5
sangat lemott,1
sangat membantu,5
luar biasa Shopee sangat mendukung kita semua sukses trus kawan,5
barang blm sampai tapi terselesaikan otomatis!!!,1
best banget sih,5
super duper bagus apk nya,5
saya suka dengan ini,5
sampai saat ini alhamdulillah baik baik saja,5
"pengirimannya lama mending tik tok pakek jnt cepet, masak paket saya sudah set bulan gak nyampek"" di tanya lansung ke kantornya malah bilangnya gak tau aneh",1
bagus banget aplikasinya,5
"hallo kak . kalo bisa baru buka aplikasi jangan langsung di arahin ke shopee video/live ya, karena itu sangat mengganggu sekali.. terima kasih.",4
baik,5
ok,5
pengiriman makin ke sini makin lama dh itu pacaking selalu rusak,1
bagus,4
"setiap buka aplikasi ini lamaaaaa banget masuk ke berandanya, terus udah gitu hp ngehang. harusnya pihak shopee cepet memperbaiki masalah ini",2
kenapa notifikasi shopee lansung membuka app shopee di hp saya? sangat menggangu sekali,3
pesanan ku ga sampai2 baik tiktok dari pada shoppe👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻,1
keren,5
jujur aj kebijakan yg skrng susah untuk berjualan,1
"sy pengguna shope sdh lama & member platinum,sekarang sy kecewa karna utk pembayaran di persulit oleh shope",1
mempermudah sistem perbelanjaan,5
sangat recommended untuk belanja,5
bagus sih tapi iklan nya di hapus,1
"mantap bisa kerja sama dengan taxe driver,,semoga lebih maju lagi",5
estimasi shope tdk sesuai pas dpat tanggal estimasi. di tunda lagi dn akan melakukan pengiriman ulang belum layak buat di jadikan prioritas langganan aplikasi belanja,1
belanja dishopee ga ribet..klo ada bintang 10 sya kasih tuh bintang buat shoppe,5
bagus,5
"masa aku beli , trus di batalin pihak shopee ya koin ku yang kumpulin lama jadi hilang... gimana to shopee ya aku merasa di rugikan to klo begini",1
bagus kurir nya ramah2,5
baik puasa,5
mantap,5
sangat memuaskan,5
"mudah belanja online, byk diskonan, harganya lebih murah drpd ofline, barang d cari ada dsini. gratis ongkir, pengiriman cepat, cari barang secound juga bagus bagus d sini. the best shopee",5
"shopee membantu banget buat yang malas belanja, tinggal pencet pencet udah deh tinggal tunggu",5
pilihan yg tepat di jaman skrng,5
keren dan aplikasi belanja terpercaya,5
Terbaik pokonya shopee,5
"SPXkalo kewalahan handel paket kenapa msih di paksakan min, kembalikan opsi pengiriman yg lama. biar kita bisa pilih expedisi yg aman dan cepet. ini spx lama bnget ngirimnya.. jnt,jne,ninja dll aja biasanya 3hari paket sampai, ini spx sampai 6hari ga sampai2..",2
suka beli disini amanah,5
saya yoba pake sopi,5
bagus murah murah,1
"makin bagus makin puas sama shopee, bakalan langganan terus belanja di shopee, cuman aku belom bisa dapet playlater, udah beberapakali ngajuin gagal mulu. semoga kedepannya Spaylater nya bisa aktif🤗👍",5
"maksa banget harus download aplikasinya, org pengen pake laptop.",1
saya sangat puas dengan palikasi ini sangat membantu,5
perbanyak diskon dan gebrakan penjualnya.,4
aplikasi belanja teraman menurut ku,5
"di shopee banyak toko yg tidak jujur..aqu sering kena tipu,banyak barang yg gak sesuai sama diskripsi",1
real puas,5
biyasa aja,4
good 👌👌,5
barang bagus,5
aplikasi yang sngat memudahkan dalam mencari referensi belanja online lbh praktis dan juga enak gk ada kendala aplikasi nyanya lancar best pokoknya,4
"beberapa kali ajukan spaylater penolakan , pengiriman via spx lebih banyak terlambat bahkan tidak terkirim , penjual banyak yang bodong",2
berguna untuk belanja kebutuhan,5
gini aja,4
untuk shopee nya saya suka banyak diskon nya. Tapi penjual nya ada yang tidak amanah,4
"membantu saya dalam mencari Pembahasan yg belum saya mengerti, dan sarana informasi bagi kami🙏",5
"Sekarang shopee suka ngadat, buka aplikasi langsung disuguhi video yang sangat2 mengganggu. Suaranya keras teriak2. Tolong jangan ada tampilan video lagi, anda pikir konsumen suka ? Sangat2 terganggu. Konsep dari mana itu ? Tolong dibenahi aplikasinya, amburadul sekali, berantakan. Terima kasih Tambahan lagi, buka aplikasi lemootttt, suka error. Error gara2 video tdk jelas joget2, teriak2, suara tdk bisa dimatikan. shopee tidak mau mendengarkan keluhan konsumen.",1
Kren gokil habis,5
udah sampai barangnya bagus sekali sangat memuaskan langsung sya pesen lagi 2 terimakasih brnganya sesuai pda ada di potonya sukaa sekali,5
bagus,5
bagus bangett,5
biarkan bintang yang berbicara,5
"Aplikasi ampas pengiriman lelet, gabisa pilih expedisi lain",1
bintang aja yg bicara,5
ya bagus aja jasa pengiriman cepat,5
sangat bermanfaat dan berguna sekali,5
senang berbelanja di shoppe shoppe menyediakan semua kebutuhan,5
sangat membantu dan memudahkan kita untuk belanja online,5
saya selaku pelanggan shopee dr th 2018 sampai skrng..cuma bikin aneh garansi tiba...awal cek out proses kirim garansi tiba 15-16 Maret klu GK sampai dpt Rp 10.000 ditengah perjalanan tau tau berubah garansi tiba sampai 19-20 Maret...kok bisa begitu ya....??,4
mantap,5
"mau bayar pake shope pay aja lemot banget ""kami sedang memuat fitur,tunggu sebentar"" lamaaaaa",1
gg shopee,5
isthebest okee..,5
"Sudah 14 hari pengiriman barang belum juga sampai estimasi paling lama 10 hari, ini kenapa bisa lebih ya?",1
ke enakan belanja dompet modar . . . is the best,5
"pesanan dari tanggal 3 sampai sekarang masih di tahan di kubu raya, alasan pernyortiran, kalau bisa diganti aja anggota penyortiran di kubu raya itu, lelet sekali kerjanya",2
"Saya suka app shopee bikin belanja jd lebih mudah dan bisa beli apa aja, pengembalian dan pembatalan juga mudah dan hasil akhirnya adil",5
aplikasinya makin lama makin berat,1
"aplikasi aneh, padahal aplikasi jual beli produk tp tiap dibuka langsung otomatis ke tab live&video, mau langsung back ke home malah semua tombolnya ilang kalau video blm selesai keputer. ganggu banget kalo lagi buru2 mau beli barang.",1
sukses selalu buat shopee,5
Selalu memuaskan,5
banyak yg sesuai dari pada yang tidak👍🏻,5
"kalau beli benang warna tdk sesuai,dgn yg di pesan..kesel rasanya,ada jga toko yg teliti dan warna yg di pesan sesuai",4
pelayanan mu buruk suka lempar sana sini kalo ada laporan tuh di selesaikan bukan dilempar sana sini,1
Ok Poko o xa mantap,5
good,4
bagus,5
Kenapa pesanan jadi lamabat banget pesan dari tanggal 14 mau di kirim tanggal 17 sampe sekarang ga ada,1
mantap lahhhhh,5
bagus banget,4
saya coba gunakan semoga bermanfaat,4
dengan adanya aplikasi shopee sangat² membantu para emak² utk berbelanja tanpa harus keluar rumah dgn membawa anak² atau meninggalkanny dirumah dan aplikasi shopee memberikan harga yg cukup murah yg sangat terjangkau dibandingkan belanja ditoko oflain yg menawarkan harga 1 x lipat dibanding harga shopee..terimakasih shopee semoga jaya teruss ttp berikan layanan dan kualitas yg terbaik bagi kami pengguna shopee 🥰,5
apk yg bagus buat shoping terimakasih Shopee,5
SPX lama sekali pengirimannya,2
"Alhamdulillah dengan adanya fitur'' yang ditawarkan hingga semakin memudahkan penggunanya, semoga shopee semakin jaya dan terus dikembangkan, terima kasih shopee",5
Barangnya bervariasi,5
saking serakahnya semua produk yang gratis ongkir direkomendasiin ke jasa kirim spx. alhasil apa? paket gw berhari hari ga dikirim dan tiba tiba dibatalin sepihak. itu di gudang udah membludak dan ternyata bukan cuman gw yang ngalamin ini. woy lah. komplain juga gaada solusinya. orang rugi banyak gara gara ini dan kalian ga mau kasih ganti rugi. makin ke sini shopee makin ke sana.,1
"Saya sangat menyukai shopee, karena banyak diskon, dan murah",5
banyak pilihan nya,5
membantu,5
pengiriman terlalu lama,1
very goooood,5
amazing lho Shopee 💥🔥❤️👏,5
murah berkualitas,5
oke,5
ok,5
pengirimanya lama,1
bagus,3
Trimakasih SHOPPE. Jaya Selalu👍🙏😇,5
top,5
memuaskan proses mudah,5
mudah segalanya,5
pelayanan sangat baik,5
"belanja di shopee sangat mudah dan menyenangkan,banyak keuntungannya",5
iye lekkkkkk,5
"kebanyakan fitur, berat ni aplikasi",3
pengiriman super percepat waktu pengiriman jne express pos express id express lazada expess j&t expres Ninja Xpress sicepat express,5
bagus sekali,5
"informasi lengkap, memudahkan, serta pelayanannya bagus.",5
Keren.,5
"belanja mudah harga murah,sy orang tua tdk usah pergi ke mn² bs belanja apa sj yg saya butuhkan dengan santai &kpnpun waktunya",5
sangat bagus aplikasinya,5
membantu,5
sangat membantu,5
👍👍👍👍,5
"pesanan saya 5 Maret, 20 Maret blum datang, mutar"" ditanggerang, knp Pi...???",5
Aplikasi ny oke si,4
dear shopee untuk kedepan nya bisa dikasih opsi pengiriman untuk pembeli apakah yang gratis atau yang bayar. biar busa milih dan barang cepat sampai.,4
sesuai dengan pesanan,5
shopee is the best,5
"mantap , pengiriman juga sangat cepat",5
"animasi dan video membuat performa HP semakin berat. mohon fitur pilihan untuk menonaktifkan autoplay di setting. hanya itu saja utk meningkatkan performa, terimakasih.",4
mudah,5
"sialan,,!! dari dulu pakek apk ini nggk ada kendala,, sekarang kok tiap mw bayar downloading trus... kok tambah jijik gue belanja disini",1
bagus,5
mantaap...😁👍,5
sangat membantu sekali...bagi kaum rebahan,5
"aplikasinya berat banget. Sering ga bisa beroperasi, padahal ada wifi.",2
"lumayan membantu belanja online saya,☺️👈",5
kurirnya amanah,5
tempat belanja langganan. kalau Mau kualitas sesuai depkrisi Cari lah barang yg sesuai Harga jangan Cari murah tapi barang Mau Bagus ok!,5
terpaksa sya Kasih Penilaian Bintang 1 dulu Karna Akhir akhir ini semenjak Paket besar juga ikut di pickup Shopee express banyak pengiriman jadi tertunda & Gagal Kirim hasilnya Tidak tepat waktu pembeli & Penjual kecewa banyak return juga. coba deh shoope klo emang belum siap & Management belum bagus jangan maksain dari pada hasilnya buat kecewa Semua Pihak. moga aja di denger masukanku.,1
good,5
Oke,5
"perbaiki urusan pengiriman, lama banget benci guaa",1
"cacat pesanan dibatalkan shopee,udah susah susah war dah dpt barangnya malah dibatalkan shope",1
Sangat sangat membantu. Makasih shopeee❤️❤️,5
mantap,5
pelayanan lama,2
bagus,4
paket pengiriman di tunda karena alamat tidak lengkap padahal pesanan sebelum nya sampai dengan selamat.😭,4
3 aja dulu yaa,3
bnyakin gratis ongkir shopefood😀😀,4
Memudahkan belanja kebutuhan,5
bagus,5
Scrol koq sering lambat,5
jasa kurir lambat bgt otomatis menggunakan jasa spx lambat bgt pengiriman nya,1
SPX express LELET mana gaada pilihan lain lagi.,1
Berat banget astaga.. jgn sarankan hapus cache.. karena dikit2 hapus cache.. tetep aja lag.. lebih berat dari game berat ini,1
bagus,5
sangat baik,5
kualitas penjual bagus toko oren ini.. daripada toko sebelah,5
tolong di perbaiki untuk pengiriman lama banget gk sesuai sama estimasi tiba nya,1
ok mantap,5
sangat membantu,5
"barang bagus, tapi pengirimannya agk lambat",5
shopee is ok,5
"pelayanan di hub maluk kecamatan maluk kabupaten sumbawa barat NTB, Miris sekali, jam 8:50 pagi masih belum siap pengambilan, padahal banyak yang nganti untuk berinisiatif mengambail paketnya tanpa menunggu kurir mengantar paket, jauh sekali sama JNT Express, slalu siap dari jam 7:30 sudah stand by kariawan di kanto hub maluk",1
setelah diupdate aplikasi tidak bisa dibuka.... aplikasinya rusak,1
mantap,5
sangat puas as as as...,5
"alhamdulillah saya cocok sama shopee, belanja tanpa ribet, jika ndak cocok dengan pesanan bisa dikembalikan dan dana kembali dengan cepat, terima kasih shopee 🙏",5
shopee produknya the best deh,5
"sangat nyaman, apalagi sekarang ada sistem retur yg bisa diambil kurir jadi gak bingung lagi buat yg punya kesibukan dan gak sempet keluar rumah atau rumah nya jauh dari tempat ekspedisi,",5
"ga berbenah dari dulu aplikasinya ngebuggg mulu, lemot bangetttt, benerin kek shopee, market place yg lain udh jauh lebih baik, shopee kaga ada perubahan uda bertahun-tahun",1
Kenpa shope ku untuk buka shopepay radak sulit ya padahal aku mau ngisi pulsa dishope pay lo,3
sudah normal lagi,5
apk nya bagus jarang ada gangguan,5
banyak diskon,5
shopee yg terbaik,5
"GW RUBAH Krn gw kecewa... smlm pas pesan mkn sahur hampir 1jam menunggu Krn double order dn lagi drivernya ngambil yg GK SEARAH + diarahkan ke jarak yg lbih jauh. selain itu ,drivernya g infokan double order!!!!!!! gw tanya baru dia jwab , baru ketahuan PS gw cek udh jauh lokasinya...TERPKASA GW BATALKAN (gw gak makan sahur ) & sekalian gw GANTI KERUGIANNYA TF ke shopay ,dikarenakan cod.eh g taunya bukan nmor dn akunnya , gw g masalahkan selama pesanan gw trma dg baik.",1
sangat bagus untuk berbelanja. tpi tolong setujui pengajuan paylater saya,5
mudah mudahan shopee bisa lebih baik lagi. toko toko nya dari yang terpercaya tidak tipu tipu,5
Caeeem pooooooollllll♥️,5
baik,5
topbgt,5
spx tolong ditingkatkan lama banget mending jnt/jne yang jelas,1
lumayanlah barang yang dipesan sama yg di kirim,5
oke,5
sippp,5
selalu beli di shopee,5
bagus,5
tempat belanja online yang sangat mudah dan murah membantu untuk berbelanja terimakasih Shopee,5
gooodddd,5
Shopee terbaik👍💯,4
sangat mengganggu ketika buka langsung ke video...,1
sangat bagus,4
aplikasi yg sangat baik dan sangat membantu 👍👍👍,5
mantap,5
barang sampai sesuai pesanan...tepat waktu bila tidak ada konfirmasi...,5
shopee ahir2ini sering tlat pengiriman 2bln kblkang kyanya tlat trus sampe jauh dr estimasi...biasa nya sebelum estimasi sudah sampe ga banget deh beda dr taun kmren...,4
shope memudahkan saya untuk berbelanja,5
ada diskon,3
"Umur udah sesuai masa barang tetap di batasi gak muncul-muncul di etalase, perbaiki lagi lah sistemnya. Mau beli apa apa malah jadi susah",4
belanja di shopee harga terjangkau kwlitas oke aman,5
bagus,5
"Kalo buat barang orderan lebih memuaskan di SHOPEE 1 kekurangan, pas pengantaran kurir jarang ada yg ngabarin lewat wa gaa seperti di LAZADA ada no kontak kurir yg mengantar",5
"sangat memuaskan pelanggan dan pengguna aplikasi,pokoknya mantap",5
aplikasi ini sangat membantu dengan berbagai jenis penjualan 🙏🙏,5
jasa kirim shoppe lammmmbattttt. n gak ada bonus bwt customer payyyyyyyaahhhh.,3
tolong buat aplikasi nya di buat lebih baik lagi karena pas mau masuk sinyal nya lag padahal di apk lain lancar aja,4
jaga kepercayaan pelanggan blokir akun penjual nakal..,5
ok mantap,5
memudahkan belanja apapun,5
pengiriman cepat,5
"puas belanja di shopee ... pengiriman cepat , gratis ongkir , kurir ramah , penjualnya juga ramah dan gercep . barang sesuai 🙏🙏🙏",5
bagus,5
sangat baik pengiriman cepat dan sesui dengan foto tampilan,5
mantap,5
Tunggu promo,5
Belanja di Shopee sangat menyenangkan...pingin buat pesanan terus...,5
"bintangnya turunkan jadi 1, aplikasi ini awalnya sy suka tapi semenjak ada video promo berjalan otomatis, sy jadi kecewa karna itu menguras data celuler saya",1
produk lengkap dan terpercaya,5
kenapa skrg belanja pake shopeepay bayar nya susah sekali ya aneh,4
Selalu ontime barangnya tiba,5
nyawar,5
baik,5
"Berdasarkan pengalaman selama ini tidak ada masalah, semoga tetap bisa menjaga",5
"saya dari madura memesan barang dari kota surabaya,ini perinciannya : dari surabaya ke sidoarjo dari sidoarjo ke gresik dari gresik ke surabaya dari surabaya ke pamekasan dari pamekasan ke gresik lalu ke surabaya lagi waktu pesanan 16 maret sekarang 19 matet kok bisa gitu ya,kenapa muter2",1
sukses yaa shoppee,5
baik,5
"salah satu Kelebihan Belanja Online dibandingkan Belanja Offline : Perasaan Aman bebas Parkir, bebas Copet bebas Jambret dll.",5
bagus sekali,5
bgus,5
good,5
sangat memuaskan,5
"Terimakasih shopee, kamu emang ok .............👍",5
ok,5
"gimana sih shope, dari dulu gitu' mulu ngeleg iya, ngabisin kouta iya, di limit iya padahal baru pake cod 3x loh ga ada penolakan paket cod gua dari dulu. masalah akun juga ga ada, gada tuh pake apk ke 3 tapi tetep aja ga bisa co, wajib bngt pke shopepay? gua dari kemaren-kemaren udah pake shopepay ya suu sekarang mau cod malah ga bisa, 1 lagi kouta saya abis 1gb cuman gara' kepencet video shope 3 detik.",1
Beli yang bertanda mall atau star+ dan yang terbaru ada shoope plus wah.... belanja berapa pun dapat gratis ongkir plus potong voucher 20%😘😘👍 tp untuk voucher gtw kenapa hrs ada minimal belanja 100rb 😥 kok ga spt dulu bisa dipotongkan tanpa minimal belanja... jadi bisa kepakai🙏🏻🤗,5
bagusss banget,5
apalh paketan lemot banget datengnya nyampe setengah bulan buat apa coba!!!😡😡😡,2
"mantap ,pesanan nyampe sesuai jadwalnya",5
memudahkan buat belanja soalnya aku males keluar tinggal buka sopi apa yg kita butuhkan semua ada.,5
"SPX lemot parah, stuck Kosambi DC ampas",1
sangat bgus,5
"beli barang disini, penjualnya bnyk yg nipuu dgn live palsu tadi beli barang suruh pesen order selama seminggu pas udah waktunya dikirim ngomongnya habiss kurang ajarr ditambah pengiriman lemoottttttt siputtt",1
barang bagus,5
"pengiriman jelek banget, dari pihak spx nya harus banget nunggu sampe tanggal batas akhir, malah sering banget melar waktunya gak sesuai estimasi yg ditentukan😑",1
bintang 1 pokok ny,1
mudah,4
sangat baguss,4
"suka sekali belanja di Shopee,cari apa saja ada ,banyak promo-2 menarik,keamanan terjamin...thanks Shopee",5
Baik,5
Saya suka dan hemat biayaya,5
karena murah dan kualitas baik,5
Sangat menarik dan menggoda utk berbelanja,5
toko on line yg sangat bervariatif dan lengkap,5
"dulu apk ni bagus , tapi makin ke sini apk ko jadi aneh. awal buka apk langsung ke iklan , jadi bikin lag . udah 4 kali paket lewat spx telat terus , paling parah 2 Minggu paket jalan d tempat . kalo dapet voucernya ga terlalu penting . yang peting tepat waktunya.",1
belanja di shopee mudah dan efisien,5
Shopee mantap. Pelayanan cepat dan tepat. cuma aplikasinya bikin lemot hp.,5
"shope ndk jelas pesanan tiba² dikembalikan ke penjual, barang nya mau dipake malah tidak nyampe",4
Shopee no 1 belanja online🙏,5
mantap,5
muda untuk beli apapun,5
apl nya bagus saya suka❤‍🔥🖤,5
"lama banget kalo ngirim pesanan, jadi saran min kalo spx expressmya agak cpt dikit",1
jadi sering belanja karena harga nya lebih murah,5
aplikasi shoope sangat membantu sekali apalagi kita butuh cepat,5
barang sesuai dg yg diorder dan tepat waktu,5
Pesan barang jadi lebih mudah,5
slalu puas belanja di shopee,5
"minta tolong kepada shopee, agar kurir bisa sampai ke alamat yang tertera, banyak pengguna shopee yang kecewa satu alamat yg tertera lain alamat yang di suruh jemput orderan, mohon di perhatikan kurir "" nya agar tidak semakin banyak yg kecewa",3
Oke mantap slalu rutin belanja di Shopee sangat membantu yg MLS ke luar rumah,5
bagus,4
bgus,5
shopee amanah,5
barangnya tidak pernah mengecewakan,5
"sesuai ekspektasi, keren",5
saya senang belanja online di shopee,5
"sejauh ini shopee masih bagus,",5
mantap dan keren,5
makin kesini makin males pake aplikasi ini,1
pengiriman sering aneh,1
"pesanan sesuai dg jadwal ,untk harga sesuai dg kondisi kantung kitadan bahan nya baik dan nyaman di badan",5
pelayanan shope is the best,5
The Best⭐️⭐️⭐️⭐️⭐️,5
setiap mengajukan tidak pernah di acc di tolak terus aneh padahal belum pernah pinjam.,2
shopee sangat murah meriah,5
sangat bagus banget barang nyah Saya suka banget belanja di shoppe Big Ramadan,4
good,5
"sekarang makin susah buat klaim voucher, niatnya buat lebaran beli banyak malah dibatalkan otomatis oleh shopee, adanya voucher buat apa kalau tidak bisa dipakai, tahun kemarin masih normal"" aja masih enak sekarang makin banyak peraturan mohon kejelasan nya shopee, kalo kayak gini terus makin banyak yang bakalan pindah apk loh",1
